beta1,likelihood,nll
1.55,0.000330448,8.01506
1.6,0.000329969,8.01651
1.65,0.000326947,8.02571
1.7,0.000321478,8.04258
1.75,0.000313709,8.06705
1.8,0.000303836,8.09902
1.85,0.000292094,8.13844
1.9,0.000278749,8.1852
1.95,0.000264088,8.23923
2,0.000248407,8.30044
2.05,0.000232004,8.36875
2.1,0.000215171,8.44408
2.15,0.000198182,8.52632
2.2,0.000181291,8.61541
2.25,0.000164723,8.71124
2.3,0.000148676,8.81374
2.35,0.000133314,8.92281
2.4,0.000118766,9.03836
2.45,0.000105131,9.16031
2.5,9.24761e-05,9.28856
2.55,8.08404e-05,9.42303
2.6,7.02367e-05,9.56364
2.65,6.06563e-05,9.71029
2.7,5.20716e-05,9.86289
2.75,4.44403e-05,10.0214
2.8,3.77087e-05,10.1856
2.85,3.18151e-05,10.3556
2.9,2.66924e-05,10.5311
2.95,2.22711e-05,10.7122
3,1.84813e-05,10.8988
3.05,1.52544e-05,11.0906
3.1,1.25247e-05,11.2878
3.15,1.02302e-05,11.4902
3.2,8.31337e-06,11.6976
3.25,6.7218e-06,11.9102
3.3,5.40806e-06,12.1276
3.35,4.32991e-06,12.35
3.4,3.45009e-06,12.5771
3.45,2.73609e-06,12.809
3.5,2.15979e-06,13.0455
3.55,1.69708e-06,13.2866
3.6,1.32751e-06,13.5322
3.65,1.03383e-06,13.7822
3.7,8.01611e-07,14.0366
3.75,6.1889e-07,14.2953
3.8,4.75803e-07,14.5583
3.85,3.64279e-07,14.8253
3.9,2.77756e-07,15.0965
3.95,2.10931e-07,15.3717
4,1.5955e-07,15.6509
4.05,1.20214e-07,15.934
4.1,9.02284e-08,16.2209
4.15,6.74666e-08,16.5116
4.2,5.02593e-08,16.8061
4.25,3.73036e-08,17.1042
4.3,2.75878e-08,17.4059
4.35,2.03301e-08,17.7112
4.4,1.49294e-08,18.0199
4.45,1.09257e-08,18.3321
4.5,7.96864e-09,18.6478
4.55,5.79254e-09,18.9667
4.6,4.19688e-09,19.2889
4.65,3.03095e-09,19.6144
4.7,2.18197e-09,19.943
4.75,1.56588e-09,20.2748
4.8,1.12029e-09,20.6097
4.85,7.9907e-10,20.9476
4.9,5.68255e-10,21.2885
4.95,4.02927e-10,21.6323
5,2.84876e-10,21.979
5.05,2.00842e-10,22.3285
5.1,1.41202e-10,22.6808
5.15,9.89998e-11,23.0359
5.2,6.92243e-11,23.3937
5.25,4.82762e-11,23.7541
5.3,3.35798e-11,24.1171
5.35,2.32978e-11,24.4827
5.4,1.61236e-11,24.8507
